Episode #,State,Action,Reward,Next State,Terminated
1,[-0.5371389  -0.00137441],1,-1.0,[-0.53841174 -0.00127288],0
1,[-0.53841174 -0.00127288],1,-1.0,[-0.53957355 -0.00116182],0
1,[-0.53957355 -0.00116182],1,-1.0,[-0.5406156  -0.00104206],0
1,[-0.5406156  -0.00104206],1,-1.0,[-0.54153013 -0.00091449],0
1,[-0.54153013 -0.00091449],1,-1.0,[-0.5423102  -0.00078007],0
1,[-0.5423102  -0.00078007],1,-1.0,[-0.54295   -0.0006398],0
1,[-0.54295   -0.0006398],1,-1.0,[-5.4344475e-01 -4.9475208e-04],0
1,[-5.4344475e-01 -4.9475208e-04],1,-1.0,[-5.4379076e-01 -3.4599533e-04],0
1,[-5.4379076e-01 -3.4599533e-04],1,-1.0,[-5.4398537e-01 -1.9464827e-04],0
1,[-5.4398537e-01 -1.9464827e-04],1,-1.0,[-5.440272e-01 -4.184406e-05],0
1,[-5.440272e-01 -4.184406e-05],1,-1.0,[-5.4391593e-01  1.1127339e-04],0
1,[-5.4391593e-01  1.1127339e-04],1,-1.0,[-5.4365242e-01  2.6355786e-04],0
1,[-5.4365242e-01  2.6355786e-04],1,-1.0,[-5.4323852e-01  4.1386925e-04],0
1,[-5.4323852e-01  4.1386925e-04],1,-1.0,[-0.54267746  0.00056108],0
1,[-0.54267746  0.00056108],1,-1.0,[-0.54197335  0.00070409],0
1,[-0.54197335  0.00070409],1,-1.0,[-0.5411315   0.00084183],0
1,[-0.5411315   0.00084183],1,-1.0,[-0.5401583   0.00097327],0
1,[-0.5401583   0.00097327],1,-1.0,[-0.53906083  0.00109741],0
1,[-0.53906083  0.00109741],1,-1.0,[-0.5378475   0.00121334],0
1,[-0.5378475   0.00121334],1,-1.0,[-0.53652734  0.00132017],0
1,[-0.53652734  0.00132017],1,-1.0,[-0.53511024  0.00141711],0
1,[-0.53511024  0.00141711],1,-1.0,[-0.53360677  0.00150343],0
1,[-0.53360677  0.00150343],1,-1.0,[-0.5320283   0.00157848],0
1,[-0.5320283   0.00157848],1,-1.0,[-0.5303866   0.00164169],0
1,[-0.5303866   0.00164169],1,-1.0,[-0.52869403  0.0016926 ],0
1,[-0.52869403  0.0016926 ],1,-1.0,[-0.52696323  0.00173081],0
1,[-0.52696323  0.00173081],1,-1.0,[-0.52520716  0.00175604],0
1,[-0.52520716  0.00175604],1,-1.0,[-0.52343905  0.00176811],0
1,[-0.52343905  0.00176811],1,-1.0,[-0.5216721   0.00176691],0
1,[-0.5216721   0.00176691],1,-1.0,[-0.5199197   0.00175246],0
1,[-0.5199197   0.00175246],1,-1.0,[-0.51819485  0.00172487],0
1,[-0.51819485  0.00172487],1,-1.0,[-0.5165105   0.00168434],0
1,[-0.5165105   0.00168434],1,-1.0,[-0.5148793   0.00163118],0
1,[-0.5148793   0.00163118],1,-1.0,[-0.51331353  0.00156579],0
1,[-0.51331353  0.00156579],1,-1.0,[-0.51182485  0.00148866],0
1,[-0.51182485  0.00148866],1,-1.0,[-0.5104245   0.00140038],0
1,[-0.5104245   0.00140038],1,-1.0,[-0.5091229  0.0013016],0
1,[-0.5091229  0.0013016],1,-1.0,[-0.5079298   0.00119306],0
1,[-0.5079298   0.00119306],1,-1.0,[-0.50685424  0.00107559],0
1,[-0.50685424  0.00107559],1,-1.0,[-0.5059042   0.00095006],0
1,[-0.5059042   0.00095006],1,-1.0,[-0.5050868   0.00081741],0
1,[-0.5050868   0.00081741],1,-1.0,[-0.5044081   0.00067864],0
1,[-0.5044081   0.00067864],1,-1.0,[-0.50387335  0.00053479],0
1,[-0.50387335  0.00053479],1,-1.0,[-5.0348639e-01  3.8693546e-04],0
1,[-5.0348639e-01  3.8693546e-04],1,-1.0,[-5.0325024e-01  2.3618416e-04],0
1,[-5.0325024e-01  2.3618416e-04],1,-1.0,[-5.0316656e-01  8.3664738e-05],0
1,[-5.0316656e-01  8.3664738e-05],1,-1.0,[-5.0323606e-01 -6.9480993e-05],0
1,[-5.0323606e-01 -6.9480993e-05],1,-1.0,[-5.0345814e-01 -2.2210660e-04],0
1,[-5.0345814e-01 -2.2210660e-04],1,-1.0,[-5.0383121e-01 -3.7306946e-04],0
1,[-5.0383121e-01 -3.7306946e-04],1,-1.0,[-0.50435245 -0.00052124],0
1,[-0.50435245 -0.00052124],1,-1.0,[-0.50501794 -0.00066551],0
1,[-0.50501794 -0.00066551],1,-1.0,[-0.5058227  -0.00080479],0
1,[-0.5058227  -0.00080479],1,-1.0,[-0.5067608  -0.00093805],0
1,[-0.5067608  -0.00093805],1,-1.0,[-0.5078251  -0.00106428],0
1,[-0.5078251  -0.00106428],1,-1.0,[-0.50900763 -0.00118254],0
1,[-0.50900763 -0.00118254],1,-1.0,[-0.51029956 -0.00129194],0
1,[-0.51029956 -0.00129194],1,-1.0,[-0.5116912  -0.00139165],0
1,[-0.5116912  -0.00139165],1,-1.0,[-0.51317215 -0.00148094],0
1,[-0.51317215 -0.00148094],1,-1.0,[-0.5147313  -0.00155913],0
1,[-0.5147313  -0.00155913],1,-1.0,[-0.5163569  -0.00162563],0
1,[-0.5163569  -0.00162563],1,-1.0,[-0.51803684 -0.00167994],0
1,[-0.51803684 -0.00167994],1,-1.0,[-0.51975846 -0.00172165],0
1,[-0.51975846 -0.00172165],1,-1.0,[-0.52150893 -0.00175045],0
1,[-0.52150893 -0.00175045],1,-1.0,[-0.5232751  -0.00176612],0
1,[-0.5232751  -0.00176612],1,-1.0,[-0.5250436  -0.00176855],0
1,[-0.5250436  -0.00176855],1,-1.0,[-0.52680135 -0.00175772],0
1,[-0.52680135 -0.00175772],1,-1.0,[-0.528535  -0.0017337],0
1,[-0.528535  -0.0017337],1,-1.0,[-0.5302317  -0.00169668],0
1,[-0.5302317  -0.00169668],1,-1.0,[-0.53187865 -0.00164693],0
1,[-0.53187865 -0.00164693],1,-1.0,[-0.5334635  -0.00158484],0
1,[-0.5334635  -0.00158484],1,-1.0,[-0.53497434 -0.00151087],0
1,[-0.53497434 -0.00151087],1,-1.0,[-0.5363999  -0.00142557],0
1,[-0.5363999  -0.00142557],1,-1.0,[-0.5377295  -0.00132958],0
1,[-0.5377295  -0.00132958],1,-1.0,[-0.5389531  -0.00122363],0
1,[-0.5389531  -0.00122363],1,-1.0,[-0.54006165 -0.00110852],0
1,[-0.54006165 -0.00110852],1,-1.0,[-0.54104674 -0.00098509],0
1,[-0.54104674 -0.00098509],1,-1.0,[-0.54190105 -0.00085429],0
1,[-0.54190105 -0.00085429],1,-1.0,[-0.54261816 -0.0007171 ],0
1,[-0.54261816 -0.0007171 ],1,-1.0,[-0.5431927  -0.00057453],0
1,[-0.5431927  -0.00057453],1,-1.0,[-5.436203e-01 -4.276593e-04],0
1,[-5.436203e-01 -4.276593e-04],1,-1.0,[-5.4389793e-01 -2.7758803e-04],0
1,[-5.4389793e-01 -2.7758803e-04],1,-1.0,[-5.4402333e-01 -1.2543864e-04],0
1,[-5.4402333e-01 -1.2543864e-04],1,-1.0,[-5.4399568e-01  2.7649761e-05],0
1,[-5.4399568e-01  2.7649761e-05],1,-1.0,[-5.4381514e-01  1.8053119e-04],0
1,[-5.4381514e-01  1.8053119e-04],1,-1.0,[-5.4348308e-01  3.3206114e-04],0
1,[-5.4348308e-01  3.3206114e-04],1,-1.0,[-5.4300201e-01  4.8110515e-04],0
1,[-5.4300201e-01  4.8110515e-04],1,-1.0,[-0.54237545  0.00062655],0
1,[-0.54237545  0.00062655],1,-1.0,[-0.54160815  0.0007673 ],0
1,[-0.54160815  0.0007673 ],1,-1.0,[-0.54070586  0.0009023 ],0
1,[-0.54070586  0.0009023 ],1,-1.0,[-0.5396753   0.00103055],0
1,[-0.5396753   0.00103055],1,-1.0,[-0.5385242   0.00115108],0
1,[-0.5385242   0.00115108],1,-1.0,[-0.53726125  0.00126298],0
1,[-0.53726125  0.00126298],1,-1.0,[-0.5358958   0.00136542],0
1,[-0.5358958   0.00136542],1,-1.0,[-0.5344382   0.00145763],0
1,[-0.5344382   0.00145763],1,-1.0,[-0.53289926  0.00153891],0
1,[-0.53289926  0.00153891],1,-1.0,[-0.53129065  0.00160865],0
1,[-0.53129065  0.00160865],1,-1.0,[-0.5296243   0.00166634],0
1,[-0.5296243   0.00166634],1,-1.0,[-0.5279128   0.00171153],0
1,[-0.5279128   0.00171153],1,-1.0,[-0.5261689   0.00174388],0
1,[-0.5261689   0.00174388],1,-1.0,[-0.5244057   0.00176316],0
1,[-0.5244057   0.00176316],1,-1.0,[-0.52263653  0.00176921],0
1,[-0.52263653  0.00176921],1,-1.0,[-0.52087456  0.00176199],0
1,[-0.52087456  0.00176199],1,-1.0,[-0.519133    0.00174156],0
1,[-0.519133    0.00174156],1,-1.0,[-0.51742494  0.00170807],0
1,[-0.51742494  0.00170807],1,-1.0,[-0.51576316  0.00166177],0
1,[-0.51576316  0.00166177],1,-1.0,[-0.51416016  0.001603  ],0
1,[-0.51416016  0.001603  ],1,-1.0,[-0.5126279   0.00153222],0
1,[-0.5126279   0.00153222],1,-1.0,[-0.51117796  0.00144996],0
1,[-0.51117796  0.00144996],1,-1.0,[-0.5098211   0.00135682],0
1,[-0.5098211   0.00135682],1,-1.0,[-0.50856763  0.00125352],0
1,[-0.50856763  0.00125352],1,-1.0,[-0.5074268   0.00114082],0
1,[-0.5074268   0.00114082],1,-1.0,[-0.5064072   0.00101958],0
1,[-0.5064072   0.00101958],1,-1.0,[-0.5055165  0.0008907],0
1,[-0.5055165  0.0008907],1,-1.0,[-0.50476134  0.00075515],0
1,[-0.50476134  0.00075515],1,-1.0,[-0.5041474   0.00061395],0
1,[-0.5041474   0.00061395],1,-1.0,[-5.0367928e-01  4.6814408e-04],0
1,[-5.0367928e-01  4.6814408e-04],1,-1.0,[-5.0336045e-01  3.1883674e-04],0
1,[-5.0336045e-01  3.1883674e-04],1,-1.0,[-5.0319332e-01  1.6714245e-04],0
1,[-5.0319332e-01  1.6714245e-04],1,-1.0,[-5.0317907e-01  1.4196924e-05],0
1,[-5.0317907e-01  1.4196924e-05],1,-1.0,[-5.0331795e-01 -1.3885488e-04],0
1,[-5.0331795e-01 -1.3885488e-04],1,-1.0,[-5.036088e-01 -2.908672e-04],0
1,[-5.036088e-01 -2.908672e-04],1,-1.0,[-5.0404954e-01 -4.4070202e-04],0
1,[-5.0404954e-01 -4.4070202e-04],1,-1.0,[-0.50463676 -0.00058724],0
1,[-0.50463676 -0.00058724],1,-1.0,[-0.50536615 -0.00072938],0
1,[-0.50536615 -0.00072938],1,-1.0,[-0.5062322  -0.00086605],0
1,[-0.5062322  -0.00086605],1,-1.0,[-0.50722843 -0.00099624],0
1,[-0.50722843 -0.00099624],1,-1.0,[-0.5083474  -0.00111897],0
1,[-0.5083474  -0.00111897],1,-1.0,[-0.50958073 -0.00123332],0
1,[-0.50958073 -0.00123332],1,-1.0,[-0.51091915 -0.00133842],0
1,[-0.51091915 -0.00133842],1,-1.0,[-0.51235265 -0.0014335 ],0
1,[-0.51235265 -0.0014335 ],1,-1.0,[-0.5138705  -0.00151783],0
1,[-0.5138705  -0.00151783],1,-1.0,[-0.51546127 -0.00159078],0
1,[-0.51546127 -0.00159078],1,-1.0,[-0.51711303 -0.0016518 ],0
1,[-0.51711303 -0.0016518 ],1,-1.0,[-0.5188135  -0.00170044],0
1,[-0.5188135  -0.00170044],1,-1.0,[-0.52054983 -0.00173633],0
1,[-0.52054983 -0.00173633],1,-1.0,[-0.522309  -0.0017592],0
1,[-0.522309  -0.0017592],1,-1.0,[-0.5240779  -0.00176887],0
1,[-0.5240779  -0.00176887],1,-1.0,[-0.52584314 -0.00176528],0
1,[-0.52584314 -0.00176528],1,-1.0,[-0.5275916  -0.00174845],0
1,[-0.5275916  -0.00174845],1,-1.0,[-0.5293101 -0.0017185],0
1,[-0.5293101 -0.0017185],1,-1.0,[-0.5309858  -0.00167567],0
1,[-0.5309858  -0.00167567],1,-1.0,[-0.53260607 -0.00162027],0
1,[-0.53260607 -0.00162027],1,-1.0,[-0.53415877 -0.00155272],0
1,[-0.53415877 -0.00155272],1,-1.0,[-0.5356323  -0.00147354],0
1,[-0.5356323  -0.00147354],1,-1.0,[-0.5370156 -0.0013833],0
1,[-0.5370156 -0.0013833],1,-1.0,[-0.5382983 -0.0012827],0
1,[-0.5382983 -0.0012827],1,-1.0,[-0.5394708  -0.00117249],0
1,[-0.5394708  -0.00117249],1,-1.0,[-0.5405243 -0.0010535],0
1,[-0.5405243 -0.0010535],1,-1.0,[-0.5414509  -0.00092661],0
1,[-0.5414509  -0.00092661],1,-1.0,[-0.5422437  -0.00079278],0
1,[-0.5422437  -0.00079278],1,-1.0,[-0.54289675 -0.00065302],0
1,[-0.54289675 -0.00065302],1,-1.0,[-5.434051e-01 -5.083672e-04],0
1,[-5.434051e-01 -5.083672e-04],1,-1.0,[-5.4376501e-01 -3.5990722e-04],0
1,[-5.4376501e-01 -3.5990722e-04],1,-1.0,[-5.4397374e-01 -2.0875283e-04],0
1,[-5.4397374e-01 -2.0875283e-04],1,-1.0,[-5.4402977e-01 -5.6035675e-05],0
1,[-5.4402977e-01 -5.6035675e-05],1,-1.0,[-5.4393268e-01  9.7100965e-05],0
1,[-5.4393268e-01  9.7100965e-05],1,-1.0,[-5.4368317e-01  2.4951072e-04],0
1,[-5.4368317e-01  2.4951072e-04],1,-1.0,[-5.4328310e-01  4.0005255e-04],0
1,[-5.4328310e-01  4.0005255e-04],1,-1.0,[-0.5427355  0.0005476],0
1,[-0.5427355  0.0005476],1,-1.0,[-0.54204446  0.00069105],0
1,[-0.54204446  0.00069105],1,-1.0,[-0.5412152   0.00082932],0
1,[-0.5412152   0.00082932],1,-1.0,[-0.54025376  0.00096138],0
1,[-0.54025376  0.00096138],1,-1.0,[-0.5391675   0.00108624],0
1,[-0.5391675   0.00108624],1,-1.0,[-0.5379646   0.00120296],0
1,[-0.5379646   0.00120296],1,-1.0,[-0.5366539   0.00131067],0
1,[-0.5366539   0.00131067],1,-1.0,[-0.53524536  0.00140856],0
1,[-0.53524536  0.00140856],1,-1.0,[-0.53374946  0.00149589],0
1,[-0.53374946  0.00149589],1,-1.0,[-0.53217745  0.00157201],0
1,[-0.53217745  0.00157201],1,-1.0,[-0.53054106  0.00163634],0
1,[-0.53054106  0.00163634],1,-1.0,[-0.5288527   0.00168841],0
1,[-0.5288527   0.00168841],1,-1.0,[-0.5271249   0.00172781],0
1,[-0.5271249   0.00172781],1,-1.0,[-0.5253706   0.00175426],0
1,[-0.5253706   0.00175426],1,-1.0,[-0.5236031   0.00176754],0
1,[-0.5236031   0.00176754],1,-1.0,[-0.5218355   0.00176758],1
2,"(array([-0.54914045,  0.        ], dtype=float32), {})",1,-1.0,[-5.4894906e-01  1.9137509e-04],0
2,[-5.4894906e-01  1.9137509e-04],1,-1.0,[-5.4856777e-01  3.8131903e-04],0
2,[-5.4856777e-01  3.8131903e-04],1,-1.0,[-0.5479993   0.00056841],0
2,[-0.5479993   0.00056841],1,-1.0,[-0.54724807  0.00075125],0
2,[-0.54724807  0.00075125],1,-1.0,[-0.5463196   0.00092847],0
2,[-0.5463196   0.00092847],1,-1.0,[-0.54522085  0.00109875],0
2,[-0.54522085  0.00109875],1,-1.0,[-0.54396003  0.0012608 ],0
2,[-0.54396003  0.0012608 ],1,-1.0,[-0.54254663  0.00141341],0
2,[-0.54254663  0.00141341],1,-1.0,[-0.5409912   0.00155545],0
2,[-0.5409912   0.00155545],1,-1.0,[-0.5393054   0.00168583],0
2,[-0.5393054   0.00168583],1,-1.0,[-0.5375018   0.00180359],0
2,[-0.5375018   0.00180359],1,-1.0,[-0.5355939   0.00190783],0
2,[-0.5355939   0.00190783],1,-1.0,[-0.53359616  0.00199777],0
2,[-0.53359616  0.00199777],1,-1.0,[-0.53152347  0.00207274],0
2,[-0.53152347  0.00207274],1,-1.0,[-0.5293913   0.00213217],0
2,[-0.5293913   0.00213217],1,-1.0,[-0.52721566  0.00217561],0
2,[-0.52721566  0.00217561],1,-1.0,[-0.5250129   0.00220274],0
2,[-0.5250129   0.00220274],1,-1.0,[-0.52279955  0.00221335],0
2,[-0.52279955  0.00221335],1,-1.0,[-0.5205922   0.00220735],0
2,[-0.5205922   0.00220735],1,-1.0,[-0.5184074  0.0021848],0
2,[-0.5184074  0.0021848],1,-1.0,[-0.5162615   0.00214587],0
2,[-0.5162615   0.00214587],1,-1.0,[-0.5141707   0.00209084],0
2,[-0.5141707   0.00209084],1,-1.0,[-0.5121506   0.00202014],0
2,[-0.5121506   0.00202014],1,-1.0,[-0.51021624  0.0019343 ],0
2,[-0.51021624  0.0019343 ],1,-1.0,[-0.5083823   0.00183396],0
2,[-0.5083823   0.00183396],1,-1.0,[-0.5066624   0.00171987],0
2,[-0.5066624   0.00171987],1,-1.0,[-0.50506955  0.0015929 ],0
2,[-0.50506955  0.0015929 ],1,-1.0,[-0.5036155   0.00145401],0
2,[-0.5036155   0.00145401],1,-1.0,[-0.5023113   0.00130422],0
2,[-0.5023113   0.00130422],1,-1.0,[-0.50116664  0.00114467],0
2,[-0.50116664  0.00114467],1,-1.0,[-0.5001901   0.00097656],0
2,[-0.5001901   0.00097656],1,-1.0,[-0.49938893  0.00080114],0
2,[-0.49938893  0.00080114],1,-1.0,[-0.4987692   0.00061973],0
2,[-0.4987692   0.00061973],1,-1.0,[-4.983355e-01  4.336754e-04],0
2,[-4.983355e-01  4.336754e-04],1,-1.0,[-4.9809113e-01  2.4438236e-04],0
2,[-4.9809113e-01  2.4438236e-04],1,-1.0,[-4.9803787e-01  5.3261741e-05],0
2,[-4.9803787e-01  5.3261741e-05],1,-1.0,[-4.9817613e-01 -1.3825716e-04],0
2,[-4.9817613e-01 -1.3825716e-04],1,-1.0,[-4.9850488e-01 -3.2874217e-04],0
2,[-4.9850488e-01 -3.2874217e-04],1,-1.0,[-0.49902165 -0.00051677],0
2,[-0.49902165 -0.00051677],1,-1.0,[-0.49972257 -0.00070093],0
2,[-0.49972257 -0.00070093],1,-1.0,[-0.5006024  -0.00087985],0
2,[-0.5006024  -0.00087985],1,-1.0,[-0.5016546  -0.00105218],0
2,[-0.5016546  -0.00105218],1,-1.0,[-0.5028713  -0.00121665],0
2,[-0.5028713  -0.00121665],1,-1.0,[-0.50424325 -0.001372  ],0
2,[-0.50424325 -0.001372  ],1,-1.0,[-0.5057604  -0.00151709],0
2,[-0.5057604  -0.00151709],1,-1.0,[-0.5074112  -0.00165081],0
2,[-0.5074112  -0.00165081],1,-1.0,[-0.50918335 -0.00177217],0
2,[-0.50918335 -0.00177217],1,-1.0,[-0.5110636  -0.00188025],0
2,[-0.5110636  -0.00188025],1,-1.0,[-0.51303786 -0.00197425],0
2,[-0.51303786 -0.00197425],1,-1.0,[-0.51509124 -0.00205344],0
2,[-0.51509124 -0.00205344],1,-1.0,[-0.5172085  -0.00211724],0
2,[-0.5172085  -0.00211724],1,-1.0,[-0.51937366 -0.00216516],0
2,[-0.51937366 -0.00216516],1,-1.0,[-0.5215705  -0.00219685],0
2,[-0.5215705  -0.00219685],1,-1.0,[-0.5237826  -0.00221206],0
2,[-0.5237826  -0.00221206],1,-1.0,[-0.5259933  -0.00221068],0
2,[-0.5259933  -0.00221068],1,-1.0,[-0.52818596 -0.00219272],0
2,[-0.52818596 -0.00219272],1,-1.0,[-0.5303443  -0.00215832],0
2,[-0.5303443  -0.00215832],1,-1.0,[-0.53245205 -0.00210773],0
2,[-0.53245205 -0.00210773],1,-1.0,[-0.5344934  -0.00204134],0
2,[-0.5344934  -0.00204134],1,-1.0,[-0.536453   -0.00195965],0
2,[-0.536453   -0.00195965],1,-1.0,[-0.5383163  -0.00186326],0
2,[-0.5383163  -0.00186326],1,-1.0,[-0.5400692  -0.00175292],0
2,[-0.5400692  -0.00175292],1,-1.0,[-0.54169863 -0.00162944],0
2,[-0.54169863 -0.00162944],1,-1.0,[-0.54319245 -0.00149376],0
2,[-0.54319245 -0.00149376],1,-1.0,[-0.54453933 -0.00134689],0
2,[-0.54453933 -0.00134689],1,-1.0,[-0.5457292  -0.00118994],0
2,[-0.5457292  -0.00118994],1,-1.0,[-0.54675335 -0.00102408],0
2,[-0.54675335 -0.00102408],1,-1.0,[-0.5476039  -0.00085056],0
2,[-0.5476039  -0.00085056],1,-1.0,[-0.5482746  -0.00067068],0
2,[-0.5482746  -0.00067068],1,-1.0,[-5.4876035e-01 -4.8578097e-04],0
2,[-5.4876035e-01 -4.8578097e-04],1,-1.0,[-5.490576e-01 -2.972483e-04],0
2,[-5.490576e-01 -2.972483e-04],1,-1.0,[-5.49164116e-01 -1.06492684e-04],0
2,[-5.49164116e-01 -1.06492684e-04],1,-1.0,[-5.4907906e-01  8.5059291e-05],0
2,[-5.4907906e-01  8.5059291e-05],1,-1.0,[-5.4880303e-01  2.7597521e-04],0
2,[-5.4880303e-01  2.7597521e-04],1,-1.0,[-5.4833823e-01  4.6482726e-04],0
2,[-5.4833823e-01  4.6482726e-04],1,-1.0,[-0.547688   0.0006502],0
2,[-0.547688   0.0006502],1,-1.0,[-0.5468573   0.00083072],0
2,[-0.5468573   0.00083072],1,-1.0,[-0.5458523   0.00100501],0
2,[-0.5458523   0.00100501],1,-1.0,[-0.54468054  0.00117179],0
2,[-0.54468054  0.00117179],1,-1.0,[-0.5433507  0.0013298],0
2,[-0.5433507  0.0013298],1,-1.0,[-0.54187286  0.00147785],0
2,[-0.54187286  0.00147785],1,-1.0,[-0.54025805  0.00161484],0
2,[-0.54025805  0.00161484],1,-1.0,[-0.5385183   0.00173973],0
2,[-0.5385183   0.00173973],1,-1.0,[-0.5366667   0.00185159],0
2,[-0.5366667   0.00185159],1,-1.0,[-0.53471714  0.00194957],0
2,[-0.53471714  0.00194957],1,-1.0,[-0.5326842   0.00203295],0
2,[-0.5326842   0.00203295],1,-1.0,[-0.5305831   0.00210108],0
2,[-0.5305831   0.00210108],1,-1.0,[-0.5284296   0.00215346],0
2,[-0.5284296   0.00215346],1,-1.0,[-0.52624     0.00218969],0
2,[-0.52624     0.00218969],1,-1.0,[-0.52403045  0.0022095 ],0
2,[-0.52403045  0.0022095 ],1,-1.0,[-0.52181774  0.00221273],0
2,[-0.52181774  0.00221273],1,-1.0,[-0.5196184   0.00219938],0
2,[-0.5196184   0.00219938],1,-1.0,[-0.51744884  0.00216952],0
2,[-0.51744884  0.00216952],1,-1.0,[-0.5153254  0.0021234],0
2,[-0.5153254  0.0021234],1,-1.0,[-0.51326406  0.00206136],0
2,[-0.51326406  0.00206136],1,-1.0,[-0.51128024  0.00198386],0
2,[-0.51128024  0.00198386],1,-1.0,[-0.50938874  0.00189149],0
2,[-0.50938874  0.00189149],1,-1.0,[-0.50760376  0.00178495],0
2,[-0.50760376  0.00178495],1,-1.0,[-0.50593877  0.00166503],0
2,[-0.50593877  0.00166503],1,-1.0,[-0.5044061   0.00153264],0
2,[-0.5044061   0.00153264],1,-1.0,[-0.5030173   0.00138878],0
2,[-0.5030173   0.00138878],1,-1.0,[-0.50178283  0.00123452],0
2,[-0.50178283  0.00123452],1,-1.0,[-0.5007118   0.00107101],0
2,[-0.5007118   0.00107101],1,-1.0,[-0.4998123  0.0008995],0
2,[-0.4998123  0.0008995],1,-1.0,[-0.49909106  0.00072125],0
2,[-0.49909106  0.00072125],1,-1.0,[-0.49855345  0.00053761],0
2,[-0.49855345  0.00053761],1,-1.0,[-4.9820352e-01  3.4994236e-04],0
2,[-4.9820352e-01  3.4994236e-04],1,-1.0,[-4.9804384e-01  1.5966204e-04],0
2,[-4.9804384e-01  1.5966204e-04],1,-1.0,[-4.9807566e-01 -3.1812244e-05],0
2,[-4.9807566e-01 -3.1812244e-05],1,-1.0,[-4.9829870e-01 -2.2304864e-04],0
2,[-4.9829870e-01 -2.2304864e-04],1,-1.0,[-4.9871132e-01 -4.1261705e-04],0
2,[-4.9871132e-01 -4.1261705e-04],1,-1.0,[-0.49931043 -0.0005991 ],0
2,[-0.49931043 -0.0005991 ],1,-1.0,[-0.5000915 -0.0007811],0
2,[-0.5000915 -0.0007811],1,-1.0,[-0.5010488  -0.00095726],0
2,[-0.5010488  -0.00095726],1,-1.0,[-0.50217503 -0.00112626],0
2,[-0.50217503 -0.00112626],1,-1.0,[-0.50346184 -0.00128682],0
2,[-0.50346184 -0.00128682],1,-1.0,[-0.5048996  -0.00143776],0
2,[-0.5048996  -0.00143776],1,-1.0,[-0.50647753 -0.00157793],0
2,[-0.50647753 -0.00157793],1,-1.0,[-0.50818384 -0.00170628],0
2,[-0.50818384 -0.00170628],1,-1.0,[-0.51000565 -0.00182185],0
2,[-0.51000565 -0.00182185],1,-1.0,[-0.51192945 -0.00192377],0
2,[-0.51192945 -0.00192377],1,-1.0,[-0.51394075 -0.00201127],0
2,[-0.51394075 -0.00201127],1,-1.0,[-0.5160244 -0.0020837],0
2,[-0.5160244 -0.0020837],1,-1.0,[-0.51816493 -0.0021405 ],0
2,[-0.51816493 -0.0021405 ],1,-1.0,[-0.52034616 -0.00218125],0
2,[-0.52034616 -0.00218125],1,-1.0,[-0.52255183 -0.00220565],0
2,[-0.52255183 -0.00220565],1,-1.0,[-0.5247653 -0.0022135],0
2,[-0.5247653 -0.0022135],1,-1.0,[-0.5269701  -0.00220475],0
2,[-0.5269701  -0.00220475],1,-1.0,[-0.52914953 -0.00217947],0
2,[-0.52914953 -0.00217947],1,-1.0,[-0.5312874  -0.00213784],0
2,[-0.5312874  -0.00213784],1,-1.0,[-0.5333676  -0.00208018],0
